id,age,income,education,experience,job_title,location,department,gender,hiring_date,performance_score,salary
1,28,45000,Bachelor,3,Data Analyst,New York,Analytics,Male,2020-01-15,78,52000
2,35,62000,Master,8,Senior Analyst,Los Angeles,Analytics,Female,2017-03-22,85,74000
3,42,,PhD,15,Data Scientist,Chicago,Research,Male,2012-06-01,92,95000
4,31,38000,Bachelor,2,Junior Analyst,Houston,Analytics,Female,2021-07-10,65,42000
5,45,85000,Master,20,Manager,New York,Operations,Male,2008-09-15,88,102000
6,29,52000,Bachelor,4,Data Analyst,Phoenix,Analytics,Female,2019-04-20,72,58000
7,38,71000,Master,12,Senior Data Scientist,San Francisco,Research,Male,2014-11-01,95,115000
8,33,55000,Bachelor,6,Data Analyst,Los Angeles,Analytics,,2018-02-28,76,62000
9,27,41000,Bachelor,2,Junior Analyst,Chicago,Analytics,Female,2021-05-12,68,45000
10,50,98000,PhD,25,Director,New York,Executive,Male,2003-01-10,96,145000
11,36,68000,Master,10,Senior Analyst,Boston,Analytics,Female,2015-08-18,82,78000
12,24,32000,Bachelor,1,Intern,Houston,Analytics,Male,2022-01-05,55,35000
13,41,79000,Master,16,Principal Data Scientist,San Francisco,Research,,2010-04-22,94,135000
14,30,48000,Bachelor,5,Data Analyst,Seattle,Analytics,Female,2019-09-30,74,54000
15,47,92000,PhD,22,VP of Analytics,New York,Executive,Male,2006-07-14,97,160000
16,34,58000,Master,7,Senior Analyst,Denver,Analytics,Male,2017-10-25,79,67000
17,26,38000,Bachelor,2,Junior Analyst,Phoenix,Analytics,Female,2021-03-08,62,43000
18,39,74000,Master,13,Senior Data Scientist,Austin,Research,Female,2013-05-16,89,98000
19,32,51000,Bachelor,4,Data Analyst,Los Angeles,Analytics,Male,2019-12-01,71,56000
20,44,88000,PhD,18,Manager,Chicago,Operations,Female,2009-02-20,91,108000
21,29,46000,Bachelor,3,Data Analyst,Boston,Analytics,Male,2020-06-14,75,53000
22,37,72000,Master,11,Senior Data Scientist,Seattle,Research,Male,2014-08-30,87,105000
23,25,34000,Bachelor,1,Intern,Denver,Analytics,Female,2022-03-01,58,38000
24,40,82000,Master,17,Principal Analyst,San Francisco,Analytics,Male,2011-01-18,93,125000
25,48,95000,PhD,23,Director,Austin,Executive,,2005-11-22,98,155000
26,33,54000,Bachelor,6,Data Analyst,New York,Analytics,Female,2018-04-05,73,59000
27,35,67000,Master,9,Senior Analyst,Houston,Analytics,Male,2016-07-28,81,73000
28,31,49000,Bachelor,5,Data Analyst,Phoenix,Analytics,,2019-11-12,70,55000
29,43,85000,Master,19,Manager,Boston,Operations,Female,2008-03-25,90,110000
30,28,44000,Bachelor,3,Junior Analyst,Seattle,Analytics,Male,2020-08-10,67,48000
31,46,91000,PhD,21,Senior Manager,Chicago,Executive,Male,2006-12-05,95,140000
32,30,52000,Master,4,Data Analyst,Los Angeles,Analytics,Female,2019-02-18,77,60000
33,38,76000,Master,14,Senior Data Scientist,Denver,Research,Male,2013-09-08,88,102000
34,27,40000,Bachelor,2,Junior Analyst,Austin,Analytics,Female,2021-04-22,64,46000
35,41,80000,PhD,16,Principal Data Scientist,New York,Research,Male,2010-06-15,94,130000
36,34,56000,Bachelor,7,Data Analyst,San Francisco,Analytics,Female,2017-12-01,78,64000
37,36,69000,Master,10,Senior Analyst,Boston,Analytics,Male,2015-05-20,83,76000
38,29,47000,Bachelor,3,Data Analyst,Houston,Analytics,,2020-03-08,72,51000
39,45,87000,Master,20,Manager,Phoenix,Operations,Female,2008-10-12,89,105000
40,32,53000,Bachelor,5,Data Analyst,Denver,Analytics,Male,2018-09-25,74,57000
41,49,97000,PhD,24,VP of Data Science,San Francisco,Executive,Female,2004-04-18,99,175000
42,26,36000,Bachelor,1,Intern,Chicago,Analytics,Male,2022-02-14,56,40000
43,39,78000,Master,15,Senior Data Scientist,Seattle,Research,Female,2012-08-05,91,110000
44,33,55000,Master,6,Data Analyst,Austin,Analytics,Male,2018-01-22,76,61000
45,37,70000,Master,11,Senior Analyst,Los Angeles,Analytics,Female,2015-04-10,84,79000
46,44,89000,PhD,19,Principal Analyst,New York,Research,Male,2009-07-28,96,138000
47,28,43000,Bachelor,2,Junior Analyst,Boston,Analytics,Female,2021-06-30,66,47000
48,40,81000,Master,17,Manager,Denver,Operations,Male,2010-11-15,92,112000
49,35,63000,Master,9,Senior Analyst,Phoenix,Analytics,Female,2016-03-08,80,70000
50,48,94000,PhD,22,Director,Houston,Executive,Male,2005-08-22,97,150000
51,30,50000,Bachelor,4,Data Analyst,Seattle,Analytics,Male,2019-05-28,75,55000
52,42,83000,Master,18,Senior Manager,Austin,Operations,Female,2009-02-10,93,118000
53,25,35000,Bachelor,1,Intern,San Francisco,Analytics,Male,2022-01-18,59,39000
54,38,75000,Master,13,Senior Data Scientist,Boston,Research,,2013-06-25,86,100000
55,31,51000,Bachelor,5,Data Analyst,Denver,Analytics,Female,2018-08-12,73,56000
56,46,90000,PhD,20,Principal Data Scientist,Los Angeles,Research,Male,2007-04-05,95,132000
57,34,59000,Master,8,Senior Analyst,Chicago,Analytics,Female,2017-01-30,79,68000
58,27,42000,Bachelor,2,Junior Analyst,Austin,Analytics,Male,2021-09-15,63,45000
59,41,77000,Master,16,Senior Data Scientist,Phoenix,Research,Female,2011-05-22,90,106000
60,36,66000,Master,11,Senior Analyst,New York,Analytics,Male,2015-09-18,82,72000
61,29,45000,Bachelor,3,Data Analyst,Boston,Analytics,Female,2020-04-08,71,50000
62,44,86000,PhD,19,Manager,Houston,Operations,Male,2009-03-12,91,108000
63,32,54000,Bachelor,6,Data Analyst,Seattle,Analytics,,2018-06-28,76,59000
64,50,99000,PhD,25,VP of Analytics,Chicago,Executive,Female,2003-06-20,98,165000
65,37,73000,Master,12,Senior Data Scientist,Denver,Research,Male,2014-02-15,88,99000
66,26,37000,Bachelor,1,Intern,Los Angeles,Analytics,Female,2022-04-05,57,41000
67,39,79000,Master,14,Senior Data Scientist,Austin,Research,Female,2012-10-08,92,108000
68,35,61000,Master,10,Senior Analyst,San Francisco,Analytics,Male,2016-05-25,81,71000
69,28,46000,Bachelor,3,Data Analyst,Phoenix,Analytics,Female,2020-07-18,74,52000
70,47,93000,PhD,21,Director,Boston,Executive,Male,2006-09-30,96,148000
71,33,57000,Bachelor,7,Data Analyst,Houston,Analytics,Male,2017-11-10,78,62000
72,40,82000,Master,17,Principal Analyst,Seattle,Research,Female,2010-08-22,94,122000
73,30,49000,Bachelor,4,Data Analyst,Denver,Analytics,,2019-03-05,72,53000
74,43,84000,PhD,18,Senior Manager,New York,Operations,Male,2009-12-08,95,120000
75,36,64000,Master,9,Senior Analyst,Chicago,Analytics,Female,2016-08-15,80,70000
76,48,96000,PhD,23,Director,San Francisco,Executive,Female,2005-05-12,97,158000
77,25,33000,Bachelor,1,Intern,Austin,Analytics,Male,2022-05-20,54,36000
78,38,74000,Master,13,Senior Data Scientist,Los Angeles,Research,Male,2013-04-28,87,104000
79,31,52000,Bachelor,5,Data Analyst,Phoenix,Analytics,Female,2018-10-15,75,58000
80,45,88000,Master,20,Manager,Boston,Operations,Male,2008-06-22,90,106000
81,34,60000,Master,8,Senior Analyst,Denver,Analytics,Female,2017-02-08,83,69000
82,27,41000,Bachelor,2,Junior Analyst,Seattle,Analytics,Male,2021-08-28,65,44000
83,42,81000,PhD,17,Principal Data Scientist,Houston,Research,Female,2010-09-12,93,126000
84,29,48000,Bachelor,3,Data Analyst,New York,Analytics,Male,2020-02-25,73,54000
85,49,98000,PhD,24,VP of Data Science,Austin,Executive,Male,2004-07-18,99,170000
86,35,65000,Master,10,Senior Analyst,Chicago,Analytics,Female,2015-12-10,79,71000
87,38,77000,Master,14,Senior Data Scientist,Los Angeles,Research,Male,2012-03-05,89,105000
88,32,53000,Bachelor,6,Data Analyst,San Francisco,Analytics,,2018-05-18,77,58000
89,44,87000,PhD,19,Manager,Phoenix,Operations,Female,2009-04-22,92,112000
90,26,39000,Bachelor,2,Junior Analyst,Boston,Analytics,Male,2021-10-05,61,42000
91,37,72000,Master,12,Senior Data Scientist,Denver,Research,Female,2014-07-20,86,98000
92,30,51000,Bachelor,4,Data Analyst,Houston,Analytics,Male,2019-06-12,74,55000
93,46,92000,PhD,21,Principal Analyst,Seattle,Research,Female,2007-01-08,96,136000
94,33,56000,Master,7,Senior Analyst,Austin,Analytics,Male,2017-09-25,78,63000
95,41,78000,Master,15,Senior Data Scientist,New York,Research,Female,2011-08-30,91,110000
96,28,45000,Bachelor,3,Data Analyst,Chicago,Analytics,Male,2020-05-08,70,50000
97,50,100000,PhD,26,Chief Data Officer,San Francisco,Executive,Female,2002-02-14,100,185000
98,36,67000,Master,11,Senior Analyst,Los Angeles,Analytics,Female,2015-06-18,82,74000
99,39,75000,Master,13,Senior Data Scientist,Boston,Research,Male,2013-11-25,88,102000
100,24,31000,Bachelor,1,Intern,Denver,Analytics,Female,2022-06-01,52,34000